MAP50106442	935_131101
0_PITT_1367	PITT_RNA_PFC_1367
SAMN06621741	SRR5361451
SM-CTEDZ	708_120531
SAMN06621744	SRR5361448
SM-CTEDW	700_120605
SAMN06621743	SRR5361449
SAMN06621746	SRR5361446
SAMN06621748	SRR5361444
0_PITT_1361	PITT_RNA_PFC_1361
SM-CTEEB	410_120503
SAMN06621749	SRR5361443
SM-CTEEC	381_120503
SM-CTEEA	899_131010
0_UMARY_1568	SRR5589163
SM-CTECI	845_130830
SM-CTECF	620_120524
SM-CTECL	693_120605
Br2009	Br2009_R5740
SM-CTED1	792_130530
SM-CTED2	905_131010
SM-CTECQ	705_120605
Br2005	Br2005_R4076
SM-CTED5	606_120523
SM-CTECT	628_120524
SM-CTED3	846_130830
SM-CTECR	894_130923
SM-CTED9	637_120524
SAMN06621730	SRR5361462
SAMN06621733	SRR5361459
SM-CTECV	75_120417
SAMN06621732	SRR5361460
SM-CTED8	895_130923
SAMN06621735	SRR5361457
SAMN06621734	SRR5361458
SAMN06621737	SRR5361455
0_UMARY_1570	SRR5589166
0_PITT_1350	PITT_RNA_PFC_1350
SAMN06621736	SRR5361456
SAMN06621739	SRR5361453
SM-CTEDA	528_120515
SAMN06621738	SRR5361454
0_UMARY_1571	SRR5589168
0_PITT_700	PITT_RNA_PFC_700
SAMN06621722	SRR5361470
SAMN06621721	SRR5361471
SAMN06621724	SRR5361468
0_PITT_1341	PITT_RNA_PFC_1341
SAMN06621723	SRR5361469
SAMN06621726	SRR5361466
SAMN06621725	SRR5361467
0_UMARY_1584	SRR5589171
68515	hB_RNA_10932
SAMN02251368	SRR934961
SAMN02251367	SRR934967
SAMN02251366	SRR934964
SAMN02251365	SRR934956
SAMN02251362	SRR934976
SAMN02251361	SRR934979
CGND-HDA-01699	HRA_01213
0_MSSM_313	MSSM_RNA_PFC_313
0_MSSM_312	MSSM_RNA_PFC_312
0_MSSM_315	MSSM_RNA_PFC_315
0_MSSM_311	MSSM_RNA_PFC_311
0_MSSM_310	MSSM_RNA_PFC_310
0_UMARY_4540	SRR5605709
0_MSSM_316	MSSM_RNA_PFC_316
0_Pitt_BP_886	PITT_RNA_BP_PFC_886
68522	BM_22_64
MAP50104134	363_120502
0_UMARY_4549	SRR5589255
CGND-HDA-00513-b38	HRA_00148
GTEX-11GSO	SRR1332796
GTEX-11GSP	SRR1413562
0_MSSM_326	MSSM_RNA_PFC_326
0_MSSM_320	MSSM_RNA_PFC_320
0_MSSM_321	MSSM_RNA_PFC_321
0_MSSM_328	MSSM_RNA_PFC_328
0_MSSM_329	MSSM_RNA_PFC_329
0_MSSM_337	MSSM_RNA_PFC_337
0_MSSM_336	MSSM_RNA_PFC_336
GTEX-WZTO	SRR1084842
0_MSSM_330	MSSM_RNA_PFC_330
0_MSSM_338	MSSM_RNA_PFC_338
0_UMARY_1496	SRR5589148
0_UMARY_1498	SRR5589150
0_SH-95-26_SH-95-26	SRR5588946
0_MSSM_351	MSSM_RNA_PFC_351
0_MSSM_350	MSSM_RNA_PFC_350
CGND-HDA-00504-b38	HRA_00139
0_MSSM_346	MSSM_RNA_PFC_346
0_MSSM_345	MSSM_RNA_PFC_345
0_MSSM_348	MSSM_RNA_PFC_348
0_MSSM_347	MSSM_RNA_PFC_347
0_MSSM_342	MSSM_RNA_PFC_342
0_MSSM_341	MSSM_RNA_PFC_341
0_MSSM_344	MSSM_RNA_PFC_344
0_MSSM_343	MSSM_RNA_PFC_343
0_Pitt_BP_838	PITT_RNA_BP_PFC_838
SAMN04455047	SRR3141978
GTEX-UTHO	SRR656745
SAMN04455048	SRR3141979
SAMN04455045	SRR3141976
0_Pitt_BP_840	PITT_RNA_BP_PFC_840
SAMN04455043	SRR3141974
0_Pitt_BP_841	PITT_RNA_BP_PFC_841
SAMN04455044	SRR3141975
SAMN04455041	SRR3141972
SAMN04455042	SRR3141973
0_Pitt_BP_849	PITT_RNA_BP_PFC_849
SAMN04455058	SRR3141988
SAMN04455059	SRR3141989
SAMN04455056	SRR3141986
SAMN04455057	SRR3141987
CGND-HDA-01312-b38	HRA_00317
SAMN04455052	SRR3141983
0_UMARY_4593	SRR5589258
SAMN04455053	SRR3141984
SAMN04455050	SRR3141981
CGND-HDA-01330-b38	HRA_00439
SAMN04455051	SRR3141982
0_UMARY_4598	SRR5605712
731	731_TCX
732	732_TCX
736	736_TCX
SAMN04455038	SRR3141969
0_MSSM_302	MSSM_RNA_PFC_302
0_MSSM_301	MSSM_RNA_PFC_301
0_MSSM_304	MSSM_RNA_PFC_331
0_MSSM_303	MSSM_RNA_PFC_303
742	742_TCX
0_MSSM_300	MSSM_RNA_PFC_300
744	744_TCX
746	746_TCX
0_MSSM_306	MSSM_RNA_PFC_306
0_MSSM_305	MSSM_RNA_PFC_305
0_MSSM_308	MSSM_RNA_PFC_308
Br1532	Br1532_R2958
751	751_TCX
0_MSSM_397	MSSM_RNA_PFC_397
0_MSSM_396	MSSM_RNA_PFC_396
SAMN02369588	SRR1004318
0_MSSM_399	MSSM_RNA_PFC_399
0_MSSM_398	MSSM_RNA_PFC_398
2015-1427	2015-1427
2015-1426	2015-1426
2015-1429	2015-1429
2015-1428	2015-1428
Br1526	Br1526_R4244
SAMN02369574	SRR1004299
GTEX-13N2G	SRR1331579
SAMN02369576	SRR1004303
SAMN02369577	SRR1004305
766	766_TCX
SAMN02251309	SRR934848
SAMN02251308	SRR934891
2015-1443	2015-1443
SAMN04455069	SRR3141999
SAMN02251305	SRR934899
2015-1445	2015-1445
Br1518	Br1518_R3507
2015-1444	2015-1444
SAMN04455068	SRR3141998
Br1512	Br1512_R3014
SAMN02251301	SRR934896
GTEX-147F4	SRR1320963
Br1511	CMC_HBCC_RNA_PFC_3236
SAMN02369566	SRR1004295
775	775_TCX
SAMN02568927	SRR1952228
777	777_TCX
0_UMARY-1841_UMARY-1841	SRR5605700
2015-1447	2015-1447
SAMN04455065	SRR3141995
2015-1446	2015-1446
SAMN04455066	SRR3141996
2015-1449	2015-1449
SAMN04455063	SRR3141993
2015-1448	2015-1448
SAMN04455064	SRR3141994
SAMN04455061	SRR3141991
SAMN04455062	SRR3141992
SAMN04455060	SRR3141990
SM-CTDTV	113_120418
SAMN02251319	SRR934939
SM-CTDU8	578_120521
SM-CTDTW	185_120424
SAMN02251318	SRR934944
SAMN02251317	SRR934945
2015-1432	2015-1432
SM-CTDTZ	82_120417
2015-1434	2015-1434
Br1507	Br1507_R2860
SAMN02251314	SRR934812
SM-CTDU9	926_131031
SM-CTDTX	218_120425
2015-1433	2015-1433
SAMN02251313	SRR934947
SM-CTDTY	285_120430
SAMN02251311	SRR934904
GTEX-P44H	SRR1440058
SM-CTDUH	943_131101
783	783_TCX
786	786_TCX
787	787_TCX
2015-1436	2015-1436
2015-1435	2015-1435
SM-CTDV1	513_120515
SM-CTDUP	946_131107
0_SH-07-73_SH-07-73	SRR5588922
SAMN04455070	SRR3142000
SAMN02568930	SRR1952231
SAMN04565538	SRR3233958
SM-CTDT7	182_120424
SAMN02251329	SRR934926
SM-CTDST	100_120417
SM-CTDSY	572_120521
0_MSSM_BP_9	MSSM_RNA_BP_PFC_9
0_Pitt_BP_1293	PITT_RNA_BP_PFC_1293
SM-CTDT8	567_120521
SM-CTDSW	65_120417
0_MSSM_BP_6	MSSM_RNA_BP_PFC_6
0_MSSM_360	MSSM_RNA_PFC_360
SAMN02251323	SRR934892
0_MSSM_BP_5	MSSM_RNA_BP_PFC_5
SAMN02251322	SRR934933
0_Pitt_BP_1298	PITT_RNA_BP_PFC_1298
SAMN02251321	SRR934898
0_MSSM_BP_7	MSSM_RNA_BP_PFC_7
0_MSSM_BP_2	MSSM_RNA_BP_PFC_2
SAMN04565533	SRR3233953
0_MSSM_BP_4	MSSM_RNA_BP_PFC_4
GTEX-147GR	SRR1435020
791	791_TCX
SM-CTDTA	509_120515
0_MSSM_357	MSSM_RNA_PFC_357
SM-CTDTF	28_120411
0_MSSM_356	MSSM_RNA_PFC_356
SM-CTDTG	360_120502
0_MSSM_359	MSSM_RNA_PFC_359
0_MSSM_358	MSSM_RNA_PFC_358
SM-CTDTE	781_130528
SM-CTDTJ	11_120410
0_MSSM_352	MSSM_RNA_PFC_352
797	797_TCX
SM-CTDTK	456_120507
SM-CTDTH	540_120516
SM-CTDTI	122_120418
SM-CTDTN	396_120503
SM-CTDTO	813_130702
SM-CTDTL	316_120501
SM-CTDTM	369_120502
SM-CTDTR	21_120411
SM-CTDU4	150_120419
SM-CTDTS	64_120417
SM-CTDTP	329_120501
SM-CTDU1	307_120430
SM-CTDU2	515_120515
SM-CTDTQ	548_120516
SM-CTDS5	510_120515
SAMN04565548	SRR3233998
SM-CTDS6	718_120531
0_UMARY-1266_UMARY-1266	SRR5589105
SAMN02251339	SRR934929
SM-CTDS4	511_120515
SAMN00744893	SRR359291
SAMN02251337	SRR934935
SM-CTDS7	649_120529
SAMN00744892	SRR359290
0_MSSM_371	MSSM_RNA_PFC_371
SAMN02251334	SRR934934
SAMN02251333	SRR934943
SAMN04565543	SRR3233963
SAMN02251331	SRR934921
SAMN02251330	SRR934923
SM-CTDSB	259_120426
0_MSSM_368	MSSM_RNA_PFC_368
0_MSSM_367	MSSM_RNA_PFC_367
SM-CTDSF	134_120419
SM-CTDSC	253_120426
SM-CTDSD	290_120430
0_MSSM_364	MSSM_RNA_PFC_364
0_UMARY_914	SRR5589362
SM-CTDSI	364_120502
SM-CTDSJ	350_120501
SM-CTDSG	40_120416
SM-CTDSN	371_120502
SM-CTDSK	334_120501
SM-CTDSL	375_120502
SM-CTDT2	657_120529
SM-CTDSR	69_120417
SM-CTDSO	281_120430
SM-CTDT1	491_120515
SM-CTDSP	355_120501
SM-CTDR4	416_120503
SM-CTDQT	277_120430
SM-CTDR5	475_120514
SM-CTDQQ	575_120521
SM-CTDR2	451_120507
SM-CTDQR	258_120426
SM-CTDR3	443_120507
SAMN02251349	SRR934977
SM-CTDQW	241_120426
SM-CTDR8	309_120430
SAMN02251348	SRR934927
SM-CTDR9	345_120501
SM-CTDQX	244_120426
2015-1401	2015-1401
SAMN02251347	SRR934931
SM-CTDQU	231_120425
SM-CTDR6	420_120507
2015-1400	2015-1400
SAMN02251346	SRR934980
GTEX-11GS4	SRR1311794
SM-CTDR7	367_120502
SM-CTDQV	243_120426
0_MSSM_381	MSSM_RNA_PFC_381
SM-CTDQY	466_120514
0_MSSM_383	MSSM_RNA_PFC_383
SAMN02251342	SRR934972
SM-CTDQZ	485_120515
SAMN02251340	SRR934932
SM-CTDRA	337_120501
0_MSSM_380	MSSM_RNA_PFC_380
SM-CTDRD	347_120501
SM-CTDRE	331_120501
SM-CTDRB	153_120423
SM-CTDRC	152_120419
SM-CTDRH	287_120430
SM-CTDRI	489_120515
0_MSSM_377	MSSM_RNA_PFC_377
SM-CTDRF	160_120423
0_MSSM_376	MSSM_RNA_PFC_376
SM-CTDRG	254_120426
2015-1403	2015-1403
2015-1402	2015-1402
SM-CTDRM	101_120418
2015-1405	2015-1405
SM-CTDRJ	142_120419
2015-1404	2015-1404
2015-1407	2015-1407
2015-1406	2015-1406
SM-CTDRN	179_120424
2015-1408	2015-1408
SM-CTDRO	927_131031
SAMN02251359	SRR934962
SAMN02251358	SRR934928
SAMN02251356	SRR934965
0_MSSM_392	MSSM_RNA_PFC_392
SAMN02251355	SRR934960
0_MSSM_394	MSSM_RNA_PFC_394
SAMN02251353	SRR934963
SAMN02251352	SRR934971
SAMN02251351	SRR934974
0_MSSM_391	MSSM_RNA_PFC_391
SAMN02251350	SRR934924
0_MSSM_390	MSSM_RNA_PFC_390
AN01410	AN01410_BA4_6
0_MSSM_389	MSSM_RNA_PFC_389
0_UMARY_933	SRR5589364
SM-CTDQG	461_120514
SM-CTDQH	389_120503
0_MSSM_388	MSSM_RNA_PFC_388
SM-CTDQE	463_120514
SM-CTDQF	471_120514
0_UMARY_5024	SRR5589303
SM-CTDQK	415_120503
SM-CTDQI	224_120425
SM-CTDQJ	437_120507
SM-CTDQO	537_120516
SM-CTDR1	419_120507
SM-CTDQP	563_120517
SM-CTDQM	402_120503
SM-CTDQN	531_120516
2014-2627	2014-2627
2014-2628	2014-2628
2014-2622	2014-2622
2014-2625	2014-2625
2015-769	2015-769
Br1497	Br1497_R3607
2015-768	2015-768
2015-767	2015-767
Br1499	Br1499_R4115
0_PITT_1209	PITT_RNA_PFC_1209
2015-766	2015-766
Br1498	Br1498_R3423
0_PITT_1211	PITT_RNA_PFC_1211
2014-2621	2014-2621
2015-772	2015-772
2015-771	2015-771
2015-770	2015-770
2015-776	2015-776
2015-775	2015-775
CGND-HDA-00556-b38	HRA_00644
2015-774	2015-774
2015-773	2015-773
2015-777	2015-777
Br1487	Br1487_R3705
CGND-HDA-01325-b38	HRA_00406
0_PITT_1201	PITT_RNA_PFC_1201
2015-3227	2015-3227
2015-740	2015-740
Br1474	Br1474_R3460
0_PITT_857	PITT_RNA_PFC_857
2015-3228	2015-3228
2015-3229	2015-3229
Br1469	Br1469_R4114
Br1463	Br1463_R3639
2015-1467	2015-1467
SM-CJGNZ	250_120426
SM-CJGNX	553_120517
Br1458	Br1458_R3421
SM-CJGNS	394_120503
SM-CJGNT	676_120604
SM-CJGNQ	206_120424
Br1454	CMC_HBCC_RNA_PFC_3345
SM-CJGO3	237_120426
SM-CJGNP	292_120430
0_Pitt_BP_1207	PITT_RNA_BP_PFC_1207
SM-CJGNM	77_120417
SM-CJGNN	428_120507
SM-CJGNK	534_120516
GTEX-Z93S	SRR1333741
SM-CJGNL	440_120507
SM-CJGNI	240_120426
SM-CJGNJ	565_120517
2015-1469	2015-1469
2015-1468	2015-1468
SM-CJGNE	294_120430
SM-CJGNF	93_120417
SM-CJGNC	408_120503
2015-1450	2015-1450
2015-1452	2015-1452
2015-1451	2015-1451
2015-1453	2015-1453
Br1446	Br1446_R3375
2015-736	2015-736
2015-735	2015-735
2015-734	2015-734
2015-733	2015-733
Br1443	Br1443_R4112
2015-738	2015-738
2015-737	2015-737
GTEX-13O3O	SRR1320280
GTEX-13O3Q	SRR1408208
SAMN07191139	SRR5643558
SM-CJGLZ	234_120425
SM-CJGM9	391_120503
SM-CJGLU	269_120430
SM-CJGM7	215_120425
SM-CJGLV	358_120502
Br1437	R3882
SM-CJGM4	183_120424
SM-CJGLS	291_120430
SM-CJGM5	310_120430
SM-CJGLT	487_120515
Br1430	R3934
SM-CJGM3	664_120530
Br1432	Br1432_R3518
SM-CJGLP	711_120531
SM-CJGLM	641_120524
SM-CJGLI	30_120416
SM-CJGLJ	541_120516
UMB5340	UMB5340_ba41_42_22
SM-CJGLG	564_120517
SM-CJGLH	680_120604
SM-CJGLE	474_120514
SM-CJGLF	159_120423
SAMN07191141	SRR5643556
SM-CJGLD	462_120514
2015-1472	2015-1472
2015-1471	2015-1471
0_MSSM_7	MSSM_RNA_PFC_7
2015-1473	2015-1473
2015-1476	2015-1476
0_MSSM_2	MSSM_RNA_PFC_2
SM-CJGMZ	691_120605
2015-1475	2015-1475
0_MSSM_3	MSSM_RNA_PFC_3
0_SH-96-32_SH-96-32	SRR5588951
2015-1478	2015-1478
SM-CJGMX	468_120514
SM-CJGN9	56_120417
0_MSSM_1	MSSM_RNA_PFC_1
SM-CJGN7	560_120517
SM-CJGMV	669_120530
0_Pitt_BP_1244	PITT_RNA_BP_PFC_1244
SM-CJGMU	909_131031
SM-CJGMR	956_131107
SM-CJGMS	865_130911
SM-CJGN4	844_130830
0_MSSM_8	MSSM_RNA_PFC_8
SM-CJGN1	12_120410
0_MSSM_9	MSSM_RNA_PFC_9
SM-CJGMQ	775_130528
SM-CJGMO	876_130918
SM-CJGML	952_131107
SM-CJGMJ	957_131107
SM-CJGMK	778_130528
SM-CJGMH	834_130729
SAMN07191130	SRR5643565
2015-3280	2015-3280
2015-3281	2015-3281
2015-3284	2015-3284
2015-3282	2015-3282
2015-3283	2015-3283
2016-960	2016-960
MAP50108462	685_120604
2016-962	2016-962
2016-961	2016-961
2016-964	2016-964
2016-963	2016-963
2015-3277	2015-3277
2015-3278	2015-3278
SAMN07191146	SRR5643551
2015-3275	2015-3275
2015-3276	2015-3276
2015-3279	2015-3279
0_PITT_10026	PITT_RNA_PFC_10026
GTEX-ZZPT	SRR1432275
0_PITT_10020	PITT_RNA_PFC_10020
0_PITT_802	PITT_RNA_PFC_802
0_PITT_806	PITT_RNA_PFC_806
0_PITT_1284	PITT_RNA_PFC_1284
0_PITT_1282	PITT_RNA_BP_PFC_1282
2016-946	2016-946
SM-CJGHY	370_120502
UMB5309	UMB5309_ba41_42_22
2016-945	2016-945
2016-948	2016-948
SM-CJGI8	632_120524
2016-947	2016-947
SM-CJGI9	554_120517
SM-CJGHX	633_120524
SM-CJGHV	149_120419
SM-CJGHS	270_120430
SM-CJGI4	493_120515
SM-CJGI5	289_120430
SM-CJGHQ	619_120524
SM-CJGHO	96_120417
SM-CJGI1	932_131101
SM-CJGHN	37_120416
SM-CJGHI	26_120411
SM-CJGHJ	24_120411
SM-CJGHG	78_120417
SM-CJGHH	386_120503
SM-CJGHE	444_120507
SM-CJGHF	469_120514
SM-CJGHD	412_120503
SM-CJGHB	580_120521
2016-940	2016-940
UMB5302	UMB5302_ba41_42_22
2016-942	2016-942
2016-944	2016-944
0_PITT_1270	PITT_RNA_PFC_1270
SM-CJGGZ	284_120430
GTEX-ZAB4	SRR1387809
2016-957	2016-957
2016-956	2016-956
2016-959	2016-959
SM-CJGIX	399_120503
SM-CJGJ9	136_120419
2016-958	2016-958
SM-CJGIY	306_120430
SM-CJGJ7	425_120507
SM-CJGIW	177_120424
SM-CJGJ8	617_120524
SM-CJGJ5	506_120515
SM-CJGIT	271_120430
0_PITT_10005	PITT_RNA_PFC_10005
SM-CJGIR	539_120516
SM-CJGJ3	300_120430
SM-CJGIS	681_120604
SM-CJGJ4	481_120514
0_PITT_10003	PITT_RNA_BP_PFC_10003
SM-CJGJ1	458_120507
SM-CJGIQ	245_120426
SM-CJGJ2	453_120507
SM-CJGIN	445_120507
SM-CJGIL	716_120531
SM-CJGIM	267_120430
SM-CJGIJ	120_120418
SM-CJGIH	500_120515
SM-CJGII	20_120411
SM-CJGIG	538_120516
SM-CJGID	613_120523
SM-CJGIE	571_120521
SM-CJGIB	340_120501
2016-950	2016-950
SM-CJGIA	197_120424
2016-953	2016-953
2016-952	2016-952
2016-955	2016-955
2016-954	2016-954
2016-924	2016-924
SAMN01983956	SRR786614
CGND-HDA-00499-b38	HRA_00134
2016-923	2016-923
SAMN01983957	SRR786615
0_UMARY_1465	SRR5589142
2016-926	2016-926
2016-925	2016-925
2016-928	2016-928
2016-927	2016-927
2016-929	2016-929
GTEX-WHSE	SRR816770
SAMN01983958	SRR786616
SAMN01983959	SRR786617
0_PITT_1256	PITT_RNA_PFC_1256
2016-922	2016-922
2016-935	2016-935
2015-3233	2015-3233
SAMN01983967	SRR786625
SM-CJGH9	81_120417
2015-3234	2015-3234
2016-934	2016-934
SAMN01983968	SRR786626
SM-CJGGY	145_120419
2016-937	2016-937
2015-3231	2015-3231
SAMN01983965	SRR786623
SM-CJGH7	70_120417
SM-CJGGV	193_120424
2016-936	2016-936
2015-3232	2015-3232
SM-CJGGW	472_120514
SM-CJGH8	574_120521
2015-3237	2015-3237
SAMN01983963	SRR786621
SM-CJGGT	51_120416
2016-938	2016-938
2015-3238	2015-3238
SAMN01983964	SRR786622
SM-CJGGU	368_120502
2015-3235	2015-3235
SAMN01983961	SRR786619
SM-CJGGR	501_120515
2015-3236	2015-3236
SAMN01983962	SRR786620
SM-CJGGS	52_120416
SM-CJGGP	116_120418
SM-CJGH1	344_120501
0_UMARY-544_UMARY-544	SRR5605726
SM-CJGGQ	227_120425
SM-CJGH2	464_120514
SM-CJGGN	141_120419
0_UMARY-1347_UMARY-1347	SRR5589117
SM-CJGGO	29_120416
0_PITT_852	PITT_RNA_PFC_852
2015-3230	2015-3230
SM-CJGGM	303_120430
SAMN01983969	SRR786627
SM-CJGGK	582_120521
CGND-HDA-00199-b38	HRA_00066
AN08873	AN08873_ba41_42_22_77
0_PITT_1247	PITT_RNA_BP_PFC_1247
SAMN01983960	SRR786618
2016-931	2016-931
2016-930	2016-930
2016-933	2016-933
0_UMARY_1486	SRR5589146
2016-932	2016-932
AN04479	AN04479_BA4_6
SAMN05163565	SRR3627947
SAMN05163564	SRR3627959
0_UMARY-4592_UMARY-4592	SRR5589257
SAMN05163563	SRR3627937
0_UMARY-1259_UMARY-1259	SRR5589104
SAMN05163568	SRR3627961
SAMN05163567	SRR3627960
0_PITT_818	PITT_RNA_PFC_818
0_PITT_1230	PITT_RNA_PFC_1230
SAMN05163562	SRR3627958
SAMN05163561	SRR3627957
SAMN05163560	SRR3627956
0_UMARY_1454	SRR5589134
SAMN05163555	SRR3627951
SAMN05163559	SRR3627955
SAMN05163558	SRR3627954
SAMN05163557	SRR3627953
0_PITT_1222	PITT_RNA_PFC_1222
SAMN05163556	SRR3627952
0_UMARY-1277_UMARY-1277	SRR5605677
GTEX-13VXU	SRR1481216
0_PITT_829	PITT_RNA_PFC_829
CGND-HDA-01321-b38	HRA_00382
AN17254	AN17254_BA7
68637	hB_RNA_12171
CGND-HDA-00560-b38	HRA_00655
0_UMARY-4669_UMARY-4669	SRR5589267
68658	hB_RNA_12181
0_UMARY_602	SRR5589339
0_UMARY_604	SRR5589340
812	812_TCX
813	813_TCX
816	816_TCX
AN11931	AN11931_ba41_42_22
0_SH-96-38_SH-96-38	SRR5588953
828	828_TCX
0_UMARY-260_UMARY-260	SRR5605705
2015-3082	2015-3082
2015-3083	2015-3083
2015-3080	2015-3080
CGND-HDA-00197-b38	HRA_00064
2015-3081	2015-3081
2015-3086	2015-3086
2015-3084	2015-3084
2015-3085	2015-3085
834	834_TCX
2015-3079	2015-3079
0_UMARY-1859_UMARY-1859	SRR5605702
68682	hB_RNA_16555
SAMN02731373	SRR2071345
GTEX-YFC4	SRR1362219
850	850_TCX
851	851_TCX
859	859_TCX
0_UMARY-1609_UMARY-1609	SRR5589173
SAMN02906829	SRR1510131
CGND-HDA-02237	HRA_00638
0_SH-97-09_SH-97-09	SRR5588957
2015-482	2015-482
2015-481	2015-481
2015-480	2015-480
2015-2630	2015-2630
2015-483	2015-483
Br1896	R4034
871	871_TCX
Br1890	Br1890_R3791
Br888	Br888_R3418
Br1881	Br1881_R3548
Br1880	Br1880_R5871
886	886_TCX
2015-2623	2015-2623
2015-2626	2015-2626
2015-2625	2015-2625
2015-2628	2015-2628
2015-2627	2015-2627
2015-2629	2015-2629
Br1879	Br1879_R3500
Br1875	Br1875_R3512
Br1874	Br1874_R5824
Br1877	Br1877_R4703
Br1876	Br1876_R3584
Br1870	Br1870_R3511
Br1873	Br1873_R3716
Br1872	Br1872_R3547
SAMN00710334	SRR332171
892	892_TCX
894	894_TCX
896	896_TCX
Br869	Br869_R4201
Br1868	Br1868_R3558
CGND-HDA-00551-b38	HRA_00616
GTEX-T6MN	SRR660933
2015-479	2015-479
2015-478	2015-478
Br1863	Br1863_R3571
2015-477	2015-477
Br1866	Br1866_R3510
Br1865	Br1865_R4029
Br1860	Br1860_R3557
Br1861	Br1861_R4701
0_SH-92-32_SH-92-32	SRR5588936
0_UMARY-5120_UMARY-5120	SRR5605722
Br1857	Br1857_R3523
Br1856	Br1856_R4028
Br1853	Br1853_R3497
Br1855	Br1855_R3545
Br1854	Br1854_R3509
Br1851	Br1851_R3522
0_UMARY-1845_UMARY-1845	SRR5605701
Br1849	Br1849_R3593
Br1846	Br1846_R3570
Br1845	Br1845_R3591
Br1848	Br1848_R3915
Br1847	Br1847_R3592
Br1844	Br1844_R4699
2015-2610	2015-2610
GTEX-111FC	SRR1404640
GTEX-X261	SRR1084649
Br827	Br827_R3901
Br822	Br822_R3549
68622	hB_RNA_8875
Br1821	R4061
2015-2609	2015-2609
2015-2603	2015-2603
2015-2606	2015-2606
2015-2605	2015-2605
2015-2608	2015-2608
2015-2607	2015-2607
0_UMARY-5114_UMARY-5114	SRR5605720
0_SH-92-05_SH-92-05	SRR5588930
Br2227	Br2227_R4363
Br2228	Br2228_R4364
Br2225	Br2225_R4361
Br2224	Br2224_R4360
SAMEA2145743	ERR315455
Br2221	Br2221_R4357
0_PITT_1579	PITT_RNA_PFC_1579
0_UMARY-5088_UMARY-5088	SRR5605717
SAMN04209682	SRR2815966
0_UMARY_1710	SRR5589187
Br2219	Br2219_R4351
0_UMARY_1713	SRR5589188
Br2216	Br2216_R4348
Br2215	Br2215_R4356
Br2217	Br2217_R4424
Br2214	Br2214_R4355
Br2213	Br2213_R4347
GTEX-1128S	SRR1323043
CGND-HDA-00193-b38	HRA_00060
0_Pitt_BP_1394	PITT_RNA_BP_PFC_1394
Br2204	Br2204_R4291
Br2207	Br2207_R4292
Br2206	Br2206_R4281
Br2201	Br2201_R4278
Br2200	Br2200_R4289
Br2202	Br2202_R4279
0_PITT_1558	PITT_RNA_PFC_1558
0_PITT_1555	PITT_RNA_PFC_1555
0_PITT_1554	PITT_RNA_PFC_1554
2015-1397	2015-1397
2015-1399	2015-1399
2015-1398	2015-1398
CGND-HDA-00564-b38	HRA_00669
SAMEA2154665	ERR315432
0_SH-99-54_SH-99-54	SRR5588981
0_PITT_988	PITT_RNA_PFC_988
0_PITT_987	PITT_RNA_PFC_987
0_PITT_1543	PITT_RNA_PFC_1543
0_PITT_1542	PITT_RNA_PFC_1542
GTEX-ZYY3	SRR1498861
2015-1340	2015-1340
7000	7000_TCX
2015-1342	2015-1342
2015-1341	2015-1341
2015-1343	2015-1343
CGND-HDA-01316-b38	HRA_00343
0_Pitt_BP_1328	PITT_RNA_BP_PFC_1328
SM-CJK5Q	173_120424
SM-CJK5J	426_120507
SM-CJK5K	388_120503
SM-CJK5I	111_120418
SM-CJK5F	557_120517
SM-CJK5G	516_120515
SM-CJK5D	478_120514
SM-CJK5E	327_120501
2015-1333	2015-1333
7015	7015_TCX
2015-1332	2015-1332
2015-1335	2015-1335
2015-1334	2015-1334
7016	7016_TCX
0_PITT_1518	PITT_RNA_PFC_1518
0_PITT_1524	PITT_RNA_PFC_1524
2015-1336	2015-1336
2015-1339	2015-1339
2015-1338	2015-1338
SM-CJK4A	889_130923
SAMN04209673	SRR2815957
0_UMARY-143_UMARY-143	SRR5589131
SAMN04209676	SRR2815960
SAMN04209678	SRR2815962
SM-CJK3X	644_120524
Br1797	Br1797_R3476
SM-CJK45	76_120417
SM-CJK46	591_120522
0_PITT_1506	PITT_RNA_PFC_1506
SM-CJK3S	477_120514
SM-CJK3P	130_120419
SM-CJK42	393_120503
SM-CJK3O	146_120419
SM-CJK3L	54_120417
SM-CJK3J	328_120501
SM-CJK3I	600_120523
SM-CJK3D	682_120604
SM-CJK3B	626_120524
SM-CJK3C	25_120411
SM-CJK5B	191_120424
SM-CJK5C	507_120515
SM-CJK5A	94_120417
CGND-HDA-01702	HRA_01208
SM-CJK4Z	266_120430
CGND-HDA-01701	HRA_01206
Br1789	Br1789_R3390
SM-CJK4W	238_120426
SM-CJK58	60_120417
SM-CJK59	46_120416
SM-CJK4X	228_120425
SM-CJK4V	255_120426
SM-CJK4S	118_120418
SM-CJK55	699_120605
SM-CJK4Q	131_120419
SM-CJK52	679_120604
SM-CJK4R	532_120516
SM-CJK51	359_120502
SM-CJK4M	212_120424
SM-CJK4I	608_120523
SM-CJK4J	654_120529
SM-CJK4H	73_120417
SM-CJK4C	280_120430
2015-3167	2015-3167
2015-3168	2015-3168
2015-3165	2015-3165
2015-3166	2015-3166
2015-3169	2015-3169
GTEX-13QJC	SRR1314163
2015-3164	2015-3164
0_MSSM_79	MSSM_RNA_PFC_79
0_PITT_917	PITT_RNA_PFC_917
0_UMARY_1792	SRR5589192
