RnaID	RNADataset	GenotypeQuery	Reason
SRR897564	ENA	PRJNA208369	SAMN02200603	GenotypeID not found
SRR2015776	ENA	PRJNA283498	SAMN03651517	GenotypeID not found
SRR2015772	ENA	PRJNA283498	SAMN03651515	GenotypeID not found
SRR1424700	ENA	PRJNA253002	SAMN02866096	GenotypeID not found
SRR1424698	ENA	PRJNA253002	SAMN02866101	GenotypeID not found
SRR1424701	ENA	PRJNA253002	SAMN02866103	GenotypeID not found
SRR1424689	ENA	PRJNA253002	SAMN02866099	GenotypeID not found
ERR1363340	ENA	PRJEB13579	SAMEA3931524	GenotypeID not found
ERR1363341	ENA	PRJEB13579	SAMEA3931525	GenotypeID not found
ERR1363342	ENA	PRJEB13579	SAMEA3931526	GenotypeID not found
SRR898361	ENA	PRJNA208369	SAMN02201930	GenotypeID not found
SRR898307	ENA	PRJNA208369	SAMN02201964	GenotypeID not found
SRR898310	ENA	PRJNA208369	SAMN02201962	GenotypeID not found
SRR898359	ENA	PRJNA208369	SAMN02201928	GenotypeID not found
SRR898311	ENA	PRJNA208369	SAMN02201965	GenotypeID not found
SRR898366	ENA	PRJNA208369	SAMN02201937	GenotypeID not found
SRR898304	ENA	PRJNA208369	SAMN02201961	GenotypeID not found
SRR898358	ENA	PRJNA208369	SAMN02201927	GenotypeID not found
SRR898362	ENA	PRJNA208369	SAMN02201933	GenotypeID not found
SRR898364	ENA	PRJNA208369	SAMN02201931	GenotypeID not found
SRR2015773	ENA	PRJNA283498	SAMN03651506	GenotypeID not found
SRR3206818	ENA	PRJNA314463	SAMN04535262	GenotypeID not found
SRR898314	ENA	PRJNA208369	SAMN02201971	GenotypeID not found
SRR898348	ENA	PRJNA208369	SAMN02201969	GenotypeID not found
SRR898316	ENA	PRJNA208369	SAMN02201972	GenotypeID not found
SRR898319	ENA	PRJNA208369	SAMN02201975	GenotypeID not found
SRR898313	ENA	PRJNA208369	SAMN02201970	GenotypeID not found
SRR898346	ENA	PRJNA208369	SAMN02201966	GenotypeID not found
SRR898305	ENA	PRJNA208369	SAMN02201967	GenotypeID not found
SRR898308	ENA	PRJNA208369	SAMN02201968	GenotypeID not found
SRR898320	ENA	PRJNA208369	SAMN02201974	GenotypeID not found
SRR898317	ENA	PRJNA208369	SAMN02201973	GenotypeID not found
SRR3206768	ENA	PRJNA314463	SAMN04535212	GenotypeID not found
SRR3206763	ENA	PRJNA314463	SAMN04535207	GenotypeID not found
SRR3206757	ENA	PRJNA314463	SAMN04535201	GenotypeID not found
SRR3206766	ENA	PRJNA314463	SAMN04535210	GenotypeID not found
SRR3206769	ENA	PRJNA314463	SAMN04535213	GenotypeID not found
SRR3206767	ENA	PRJNA314463	SAMN04535211	GenotypeID not found
SRR3206759	ENA	PRJNA314463	SAMN04535203	GenotypeID not found
SRR3206771	ENA	PRJNA314463	SAMN04535215	GenotypeID not found
SRR3206760	ENA	PRJNA314463	SAMN04535204	GenotypeID not found
SRR3206754	ENA	PRJNA314463	SAMN04535198	GenotypeID not found
SRR1004304	ENA	PRJNA222268	SAMN02369573	GenotypeID not found
SRR1004298	ENA	PRJNA222268	SAMN02369572	GenotypeID not found
SRR1004296	ENA	PRJNA222268	SAMN02369569	GenotypeID not found
SRR1004297	ENA	PRJNA222268	SAMN02369575	GenotypeID not found
SRR1004302	ENA	PRJNA222268	SAMN02369571	GenotypeID not found
SRR1004291	ENA	PRJNA222268	SAMN02369568	GenotypeID not found
SRR1004300	ENA	PRJNA222268	SAMN02369570	GenotypeID not found
SRR1216027	ENA	PRJNA208369	SAMN02716728	GenotypeID not found
SRR1216026	ENA	PRJNA208369	SAMN02716726	GenotypeID not found
SRR1216029	ENA	PRJNA208369	SAMN02716729	GenotypeID not found
SRR897884	ENA	PRJNA208369	SAMN02199668	GenotypeID not found
SRR897891	ENA	PRJNA208369	SAMN02199674	GenotypeID not found
SRR897504	ENA	PRJNA208369	SAMN02199765	GenotypeID not found
SRR897499	ENA	PRJNA208369	SAMN02199763	GenotypeID not found
SRR897892	ENA	PRJNA208369	SAMN02199672	GenotypeID not found
SRR897888	ENA	PRJNA208369	SAMN02199671	GenotypeID not found
SRR897505	ENA	PRJNA208369	SAMN02199766	GenotypeID not found
SRR897885	ENA	PRJNA208369	SAMN02199667	GenotypeID not found
SRR897889	ENA	PRJNA208369	SAMN02199669	GenotypeID not found
SRR897887	ENA	PRJNA208369	SAMN02199670	GenotypeID not found
SRR896747	ENA	PRJNA208369	SAMN02199589	GenotypeID not found
SRR896776	ENA	PRJNA208369	SAMN02199587	GenotypeID not found
SRR896767	ENA	PRJNA208369	SAMN02199586	GenotypeID not found
SRR896773	ENA	PRJNA208369	SAMN02199582	GenotypeID not found
SRR896779	ENA	PRJNA208369	SAMN02199590	GenotypeID not found
SRR896772	ENA	PRJNA208369	SAMN02199584	GenotypeID not found
SRR896756	ENA	PRJNA208369	SAMN02199588	GenotypeID not found
SRR896778	ENA	PRJNA208369	SAMN02199585	GenotypeID not found
SRR896775	ENA	PRJNA208369	SAMN02199583	GenotypeID not found
SRR896759	ENA	PRJNA208369	SAMN02199591	GenotypeID not found
SRR896762	ENA	PRJNA208369	SAMN02199601	GenotypeID not found
SRR896782	ENA	PRJNA208369	SAMN02199596	GenotypeID not found
SRR896781	ENA	PRJNA208369	SAMN02199592	GenotypeID not found
SRR896774	ENA	PRJNA208369	SAMN02199615	GenotypeID not found
SRR896777	ENA	PRJNA208369	SAMN02199620	GenotypeID not found
SRR896771	ENA	PRJNA208369	SAMN02199609	GenotypeID not found
SRR896768	ENA	PRJNA208369	SAMN02199604	GenotypeID not found
SRR896765	ENA	PRJNA208369	SAMN02199602	GenotypeID not found
SRR896780	ENA	PRJNA208369	SAMN02199622	GenotypeID not found
SRR896750	ENA	PRJNA208369	SAMN02199593	GenotypeID not found
SRR897862	ENA	PRJNA208369	SAMN02199644	GenotypeID not found
SRR897857	ENA	PRJNA208369	SAMN02199641	GenotypeID not found
SRR897864	ENA	PRJNA208369	SAMN02199645	GenotypeID not found
SRR897858	ENA	PRJNA208369	SAMN02199640	GenotypeID not found
SRR897866	ENA	PRJNA208369	SAMN02199646	GenotypeID not found
SRR897855	ENA	PRJNA208369	SAMN02199635	GenotypeID not found
SRR897860	ENA	PRJNA208369	SAMN02199636	GenotypeID not found
SRR897859	ENA	PRJNA208369	SAMN02199643	GenotypeID not found
SRR897856	ENA	PRJNA208369	SAMN02199638	GenotypeID not found
SRR897863	ENA	PRJNA208369	SAMN02199642	GenotypeID not found
SRR897142	ENA	PRJNA208369	SAMN02200184	GenotypeID not found
SRR897137	ENA	PRJNA208369	SAMN02200180	GenotypeID not found
SRR897135	ENA	PRJNA208369	SAMN02200178	GenotypeID not found
SRR897136	ENA	PRJNA208369	SAMN02200177	GenotypeID not found
SRR897144	ENA	PRJNA208369	SAMN02200185	GenotypeID not found
SRR897143	ENA	PRJNA208369	SAMN02200182	GenotypeID not found
SRR897141	ENA	PRJNA208369	SAMN02200183	GenotypeID not found
SRR897134	ENA	PRJNA208369	SAMN02200176	GenotypeID not found
SRR897139	ENA	PRJNA208369	SAMN02200179	GenotypeID not found
SRR897138	ENA	PRJNA208369	SAMN02200181	GenotypeID not found
SRR1510152	ENA	PRJNA254971	SAMN02906765	GenotypeID not found
SRR1510151	ENA	PRJNA254971	SAMN02906764	GenotypeID not found
SRR1510154	ENA	PRJNA254971	SAMN02906767	GenotypeID not found
SRR1510155	ENA	PRJNA254971	SAMN02906768	GenotypeID not found
SRR1510149	ENA	PRJNA254971	SAMN02906762	GenotypeID not found
SRR1510157	ENA	PRJNA254971	SAMN02906770	GenotypeID not found
SRR1510150	ENA	PRJNA254971	SAMN02906763	GenotypeID not found
SRR1510156	ENA	PRJNA254971	SAMN02906769	GenotypeID not found
SRR1510148	ENA	PRJNA254971	SAMN02906761	GenotypeID not found
SRR1216036	ENA	PRJNA208369	SAMN02716677	GenotypeID not found
SRR1216038	ENA	PRJNA208369	SAMN02716682	GenotypeID not found
SRR1216033	ENA	PRJNA208369	SAMN02716675	GenotypeID not found
SRR1216035	ENA	PRJNA208369	SAMN02716680	GenotypeID not found
SRR1216032	ENA	PRJNA208369	SAMN02716678	GenotypeID not found
SRR1216040	ENA	PRJNA208369	SAMN02716679	GenotypeID not found
SRR1216039	ENA	PRJNA208369	SAMN02716676	GenotypeID not found
SRR1216043	ENA	PRJNA208369	SAMN02716683	GenotypeID not found
SRR1216041	ENA	PRJNA208369	SAMN02716684	GenotypeID not found
SRR1216031	ENA	PRJNA208369	SAMN02716674	GenotypeID not found
SRR5658370	ENA	PRJNA389648	SAMN07204407	GenotypeID not found
SRR5658369	ENA	PRJNA389648	SAMN07204404	GenotypeID not found
SRR2815955	ENA	PRJNA299472	SAMN04209671	GenotypeID not found
SRR2815965	ENA	PRJNA299472	SAMN04209681	GenotypeID not found
SRR2815961	ENA	PRJNA299472	SAMN04209677	GenotypeID not found
SRR2815968	ENA	PRJNA299472	SAMN04209684	GenotypeID not found
SRR2815963	ENA	PRJNA299472	SAMN04209679	GenotypeID not found
SRR2815967	ENA	PRJNA299472	SAMN04209683	GenotypeID not found
SRR2816103	ENA	PRJNA299472	SAMN04209750	GenotypeID not found
SRR2816105	ENA	PRJNA299472	SAMN04209752	GenotypeID not found
SRR2816101	ENA	PRJNA299472	SAMN04209748	GenotypeID not found
SRR2816102	ENA	PRJNA299472	SAMN04209749	GenotypeID not found
SRR2816106	ENA	PRJNA299472	SAMN04209753	GenotypeID not found
SRR896745	ENA	PRJNA208369	SAMN02199570	GenotypeID not found
SRR896744	ENA	PRJNA208369	SAMN02199569	GenotypeID not found
SRR896746	ENA	PRJNA208369	SAMN02199561	GenotypeID not found
SRR896749	ENA	PRJNA208369	SAMN02199565	GenotypeID not found
SRR896754	ENA	PRJNA208369	SAMN02199559	GenotypeID not found
SRR896753	ENA	PRJNA208369	SAMN02199568	GenotypeID not found
SRR896748	ENA	PRJNA208369	SAMN02199563	GenotypeID not found
SRR896751	ENA	PRJNA208369	SAMN02199566	GenotypeID not found
SRR896757	ENA	PRJNA208369	SAMN02199571	GenotypeID not found
SRR896755	ENA	PRJNA208369	SAMN02199560	GenotypeID not found
SRR896803	ENA	PRJNA208369	SAMN02199499	GenotypeID not found
SRR896796	ENA	PRJNA208369	SAMN02199497	GenotypeID not found
SRR896790	ENA	PRJNA208369	SAMN02199495	GenotypeID not found
SRR896800	ENA	PRJNA208369	SAMN02199493	GenotypeID not found
SRR896794	ENA	PRJNA208369	SAMN02199496	GenotypeID not found
SRR896795	ENA	PRJNA208369	SAMN02199501	GenotypeID not found
SRR896798	ENA	PRJNA208369	SAMN02199494	GenotypeID not found
SRR896799	ENA	PRJNA208369	SAMN02199498	GenotypeID not found
SRR896797	ENA	PRJNA208369	SAMN02199492	GenotypeID not found
SRR896802	ENA	PRJNA208369	SAMN02199500	GenotypeID not found
SRR1222587	ENA	PRJNA244070	SAMN02721529	GenotypeID not found
SRR1222684	ENA	PRJNA244070	SAMN02721543	GenotypeID not found
SRR786624	ENA	PRJNA193342	SAMN01983966	GenotypeID not found
SRR1399201	GTEx	GTEx	GTEX-12696	GenotypeID not found
SRR1472150	GTEx	GTEx	GTEX-1445S	GenotypeID not found
SRR612455	GTEx	GTEx	GTEX-RU72	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\GTEx\GTEx.genome-pihat0.125.txt
SRR1435775	GTEx	GTEx	GTEX-12WSC	GenotypeID not found
SRR1499630	GTEx	GTEx	GTEX-1445S	GenotypeID not found
SRR663633	GTEx	GTEx	GTEX-RVPU	GenotypeID not found
SRR1358102	GTEx	GTEx	GTEX-144FL	GenotypeID not found
SRR1099499	GTEx	GTEx	GTEX-XLM4	GenotypeID not found
SRR1474466	GTEx	GTEx	GTEX-139UC	GenotypeID not found
SRR5125371	NA	NA	GTEX-WHSE-0011-R1A-SM-3P5ZK	GenotypeID not found
SRR598768	GTEx	GTEx	GTEX-P44G	GenotypeID not found
SRR1399028	GTEx	GTEx	GTEX-12WSC	GenotypeID not found
SRR1500537	GTEx	GTEx	GTEX-1399T	GenotypeID not found
SRR1402882	GTEx	GTEx	GTEX-13N1W	GenotypeID not found
SRR1354577	GTEx	GTEx	GTEX-13PDP	GenotypeID not found
SRR1352975	GTEx	GTEx	GTEX-145LU	GenotypeID not found
SRR1079168	GTEx	GTEx	GTEX-XLM4	GenotypeID not found
SRR1069188	GTEx	GTEx	GTEX-XLM4	GenotypeID not found
SRR598396	GTEx	GTEx	GTEX-P44G	GenotypeID not found
SRR1436966	GTEx	GTEx	GTEX-ZE9C	GenotypeID not found
SRR1101421	GTEx	GTEx	GTEX-XLM4	GenotypeID not found
SRR1096966	GTEx	GTEx	GTEX-XLM4	GenotypeID not found
SRR1319136	GTEx	GTEx	GTEX-144GO	GenotypeID not found
SRR1365828	GTEx	GTEx	GTEX-12WSB	GenotypeID not found
SRR5125349	NA	NA	GTEX-WHSE-0011-R8A-SM-3P5Z1	GenotypeID not found
SRR1079281	GTEx	GTEx	GTEX-XOTO	GenotypeID not found
SRR1330546	GTEx	GTEx	GTEX-139TS	GenotypeID not found
SRR5125357	NA	NA	GTEX-WHSE-0011-R6A-SM-3P5ZP	GenotypeID not found
SRR1476279	GTEx	GTEx	GTEX-139UC	GenotypeID not found
SRR1467364	GTEx	GTEx	GTEX-12WSC	GenotypeID not found
SRR1360150	GTEx	GTEx	GTEX-11ZU8	GenotypeID not found
SRR5125350	NA	NA	GTEX-WHSE-0011-R8A-SM-3P5Z1	GenotypeID not found
SRR1079591	GTEx	GTEx	GTEX-XLM4	GenotypeID not found
SRR1335064	GTEx	GTEx	GTEX-144GO	GenotypeID not found
SRR1092797	GTEx	GTEx	GTEX-XLM4	GenotypeID not found
SRR1340907	GTEx	GTEx	GTEX-12WSC	GenotypeID not found
SRR1350107	GTEx	GTEx	GTEX-12WSB	GenotypeID not found
SRR5125541	NA	NA	GTEX-X4EP-3026-SM-3P5YP	GenotypeID not found
SRR1331841	GTEx	GTEx	GTEX-145LU	GenotypeID not found
SRR1333767	GTEx	GTEx	GTEX-ZE9C	GenotypeID not found
SRR820962	GTEx	GTEx	GTEX-RVPU	GenotypeID not found
SRR1388979	GTEx	GTEx	GTEX-13N1W	GenotypeID not found
SRR1442666	GTEx	GTEx	GTEX-139T8	GenotypeID not found
SRR1343281	GTEx	GTEx	GTEX-144GL	GenotypeID not found
SRR1421305	GTEx	GTEx	GTEX-12WSB	GenotypeID not found
SRR1329835	GTEx	GTEx	GTEX-RVPU	GenotypeID not found
SRR5125566	NA	NA	GTEX-X4EP-0011-R5A-SM-3P628	GenotypeID not found
SRR1322419	GTEx	GTEx	GTEX-139UC	GenotypeID not found
SRR5125562	NA	NA	GTEX-X4EP-0011-R6A-SM-3P629	GenotypeID not found
SRR608368	GTEx	GTEx	GTEX-P44G	GenotypeID not found
SRR5125373	NA	NA	GTEX-WHSE-0011-R11A-SM-3P5YY	GenotypeID not found
SRR5125356	NA	NA	GTEX-WHSE-0011-R6A-SM-3P5ZP	GenotypeID not found
SRR1338301	GTEx	GTEx	GTEX-144GL	GenotypeID not found
SRR1087152	GTEx	GTEx	GTEX-XLM4	GenotypeID not found
SRR1437555	GTEx	GTEx	GTEX-11ONC	GenotypeID not found
SRR599225	GTEx	GTEx	GTEX-P44G	GenotypeID not found
SRR1375927	GTEx	GTEx	GTEX-ZE9C	GenotypeID not found
SRR598332	GTEx	GTEx	GTEX-P44G	GenotypeID not found
SRR1419893	GTEx	GTEx	GTEX-ZE9C	GenotypeID not found
SRR1310623	GTEx	GTEx	GTEX-11ONC	GenotypeID not found
SRR662091	GTEx	GTEx	GTEX-RVPU	GenotypeID not found
SRR1447393	GTEx	GTEx	GTEX-11H98	GenotypeID not found
SRR1341057	GTEx	GTEx	GTEX-1269C	GenotypeID not found
SRR1434782	GTEx	GTEx	GTEX-145LU	GenotypeID not found
SRR658188	GTEx	GTEx	GTEX-RVPU	GenotypeID not found
SRR1312428	GTEx	GTEx	GTEX-139T8	GenotypeID not found
SRR1498272	GTEx	GTEx	GTEX-13N1W	GenotypeID not found
SRR1399092	GTEx	GTEx	GTEX-1399T	GenotypeID not found
SRR613042	GTEx	GTEx	GTEX-R55F	GenotypeID not found
SRR1474951	GTEx	GTEx	GTEX-144GL	GenotypeID not found
SRR1476614	GTEx	GTEx	GTEX-139TS	GenotypeID not found
SRR1362643	GTEx	GTEx	GTEX-13RTL	GenotypeID not found
SRR1355373	GTEx	GTEx	GTEX-12WSB	GenotypeID not found
SRR1417070	GTEx	GTEx	GTEX-139TS	GenotypeID not found
SRR1465917	GTEx	GTEx	GTEX-11OC5	GenotypeID not found
SRR1317853	GTEx	GTEx	GTEX-145LS	GenotypeID not found
SRR1485789	GTEx	GTEx	GTEX-12WSB	GenotypeID not found
SRR1083632	GTEx	GTEx	GTEX-XOTO	GenotypeID not found
SRR1361714	GTEx	GTEx	GTEX-12WSC	GenotypeID not found
SRR1322291	GTEx	GTEx	GTEX-139UC	GenotypeID not found
SRR1468141	GTEx	GTEx	GTEX-139UC	GenotypeID not found
SRR1402239	GTEx	GTEx	GTEX-12696	GenotypeID not found
SRR1313951	GTEx	GTEx	GTEX-1399T	GenotypeID not found
SRR5125359	NA	NA	GTEX-WHSE-0011-R5A-SM-3P5ZO	GenotypeID not found
SRR1348159	GTEx	GTEx	GTEX-145LS	GenotypeID not found
SRR1316815	GTEx	GTEx	GTEX-1399T	GenotypeID not found
SRR1408769	GTEx	GTEx	GTEX-139UC	GenotypeID not found
SRR5125532	NA	NA	GTEX-X4XX-0011-R2A-SM-3P623	GenotypeID not found
SRR5125361	NA	NA	GTEX-WHSE-0011-R4A-SM-3P5ZN	GenotypeID not found
SRR1459033	GTEx	GTEx	GTEX-11DXW	GenotypeID not found
SRR1383633	GTEx	GTEx	GTEX-13N1W	GenotypeID not found
SRR5125542	NA	NA	GTEX-X4EP-3026-SM-3P5YP	GenotypeID not found
SRR1403958	GTEx	GTEx	GTEX-145LS	GenotypeID not found
SRR1387199	GTEx	GTEx	GTEX-12WSC	GenotypeID not found
SRR1315949	GTEx	GTEx	GTEX-145LU	GenotypeID not found
SRR1364800	GTEx	GTEx	GTEX-144GL	GenotypeID not found
SRR5125374	NA	NA	GTEX-WHSE-0011-R11A-SM-3P5YY	GenotypeID not found
SRR1490613	GTEx	GTEx	GTEX-13PDP	GenotypeID not found
SRR1334440	GTEx	GTEx	GTEX-139T8	GenotypeID not found
SRR1410656	GTEx	GTEx	GTEX-12WSB	GenotypeID not found
SRR1475168	GTEx	GTEx	GTEX-RU72	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\GTEx\GTEx.genome-pihat0.125.txt
SRR5125410	NA	NA	GTEX-UTHO-2926-SM-3P5Z9	GenotypeID not found
SRR1400375	GTEx	GTEx	GTEX-ZAK1	GenotypeID not found
SRR1500800	GTEx	GTEx	GTEX-1445S	GenotypeID not found
SRR1338669	GTEx	GTEx	GTEX-1399T	GenotypeID not found
SRR601500	GTEx	GTEx	GTEX-P44G	GenotypeID not found
SRR1323536	GTEx	GTEx	GTEX-145LS	GenotypeID not found
SRR5125365	NA	NA	GTEX-WHSE-0011-R3A-SM-3P5ZM	GenotypeID not found
SRR1336481	GTEx	GTEx	GTEX-145LU	GenotypeID not found
SRR5125575	NA	NA	GTEX-X4EP-0011-R2B-SM-3P625	GenotypeID not found
SRR1310136	GTEx	GTEx	GTEX-11O72	GenotypeID not found
SRR1337909	GTEx	GTEx	GTEX-144GL	GenotypeID not found
SRR1333587	GTEx	GTEx	GTEX-11ONC	GenotypeID not found
SRR1315721	GTEx	GTEx	GTEX-13N1W	GenotypeID not found
SRR1475737	GTEx	GTEx	GTEX-RU72	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\GTEx\GTEx.genome-pihat0.125.txt
SRR1470397	GTEx	GTEx	GTEX-11OF3	GenotypeID not found
SRR1096851	GTEx	GTEx	GTEX-XOTO	GenotypeID not found
SRR1364739	GTEx	GTEx	GTEX-ZE9C	GenotypeID not found
SRR1074164	GTEx	GTEx	GTEX-XOTO	GenotypeID not found
SRR1419187	GTEx	GTEx	GTEX-ZE9C	GenotypeID not found
SRR1489779	GTEx	GTEx	GTEX-ZE9C	GenotypeID not found
SRR1382532	GTEx	GTEx	GTEX-1445S	GenotypeID not found
SRR1320115	GTEx	GTEx	GTEX-145LU	GenotypeID not found
SRR1085662	GTEx	GTEx	GTEX-XOTO	GenotypeID not found
SRR1417981	GTEx	GTEx	GTEX-11O72	GenotypeID not found
SRR1421351	GTEx	GTEx	GTEX-145LS	GenotypeID not found
SRR1314187	GTEx	GTEx	GTEX-145LS	GenotypeID not found
SRR1433750	GTEx	GTEx	GTEX-144GL	GenotypeID not found
SRR1334033	GTEx	GTEx	GTEX-1445S	GenotypeID not found
SRR1311182	GTEx	GTEx	GTEX-11OF3	GenotypeID not found
SRR1319970	GTEx	GTEx	GTEX-1399T	GenotypeID not found
SRR1397008	GTEx	GTEx	GTEX-1445S	GenotypeID not found
SRR1459211	GTEx	GTEx	GTEX-145LS	GenotypeID not found
SRR1410912	GTEx	GTEx	GTEX-11ZU8	GenotypeID not found
SRR1354689	GTEx	GTEx	GTEX-144GL	GenotypeID not found
SRR5125535	NA	NA	GTEX-X4XX-0011-R1B-SM-3P622	GenotypeID not found
SRR1396595	GTEx	GTEx	GTEX-145LS	GenotypeID not found
SRR5125563	NA	NA	GTEX-X4EP-0011-R6A-SM-3P629	GenotypeID not found
SRR1361795	GTEx	GTEx	GTEX-139TU	GenotypeID not found
SRR1322456	GTEx	GTEx	GTEX-13RTL	GenotypeID not found
SRR5125574	NA	NA	GTEX-X4EP-0011-R2B-SM-3P625	GenotypeID not found
SRR1375271	GTEx	GTEx	GTEX-1269C	GenotypeID not found
SRR1350220	GTEx	GTEx	GTEX-139UC	GenotypeID not found
SRR5125533	NA	NA	GTEX-X4XX-0011-R2A-SM-3P623	GenotypeID not found
SRR1435753	GTEx	GTEx	GTEX-1445S	GenotypeID not found
SRR1328599	GTEx	GTEx	GTEX-145LS	GenotypeID not found
SRR1476186	GTEx	GTEx	GTEX-1399T	GenotypeID not found
SRR5125409	NA	NA	GTEX-UTHO-2926-SM-3P5Z9	GenotypeID not found
SRR1318426	GTEx	GTEx	GTEX-139UC	GenotypeID not found
SRR603752	GTEx	GTEx	GTEX-P44G	GenotypeID not found
SRR5125358	NA	NA	GTEX-WHSE-0011-R5A-SM-3P5ZO	GenotypeID not found
SRR1328035	GTEx	GTEx	GTEX-144GO	GenotypeID not found
SRR1489821	GTEx	GTEx	GTEX-13N1W	GenotypeID not found
SRR5125536	NA	NA	GTEX-X4XX-0011-R1B-SM-3P622	GenotypeID not found
SRR5125364	NA	NA	GTEX-WHSE-0011-R3A-SM-3P5ZM	GenotypeID not found
SRR1370405	GTEx	GTEx	GTEX-13N1W	GenotypeID not found
SRR1478032	GTEx	GTEx	GTEX-144GL	GenotypeID not found
SRR1465337	GTEx	GTEx	GTEX-139TS	GenotypeID not found
SRR1397073	GTEx	GTEx	GTEX-1399T	GenotypeID not found
SRR1375203	GTEx	GTEx	GTEX-1445S	GenotypeID not found
SRR5125352	NA	NA	GTEX-WHSE-0011-R7A-SM-3P5YZ	GenotypeID not found
SRR1366433	GTEx	GTEx	GTEX-12WSC	GenotypeID not found
SRR1120755	GTEx	GTEx	GTEX-XOTO	GenotypeID not found
SRR1370129	GTEx	GTEx	GTEX-12WSC	GenotypeID not found
SRR1358689	GTEx	GTEx	GTEX-RVPU	GenotypeID not found
SRR1357189	GTEx	GTEx	GTEX-1399T	GenotypeID not found
SRR1414424	GTEx	GTEx	GTEX-11ONC	GenotypeID not found
SRR1381632	GTEx	GTEx	GTEX-144GO	GenotypeID not found
SRR1435293	GTEx	GTEx	GTEX-139TS	GenotypeID not found
SRR1083100	GTEx	GTEx	GTEX-XOTO	GenotypeID not found
SRR1339968	GTEx	GTEx	GTEX-139T8	GenotypeID not found
SRR1082262	GTEx	GTEx	GTEX-XLM4	GenotypeID not found
SRR1321552	GTEx	GTEx	GTEX-139TS	GenotypeID not found
SRR1362532	GTEx	GTEx	GTEX-11DXW	GenotypeID not found
SRR1417912	GTEx	GTEx	GTEX-R55F	GenotypeID not found
SRR1092706	GTEx	GTEx	GTEX-XLM4	GenotypeID not found
SRR5125578	NA	NA	GTEX-X4EP-0011-R1A-SM-3P624	GenotypeID not found
SRR1320093	GTEx	GTEx	GTEX-11OF3	GenotypeID not found
SRR1365987	GTEx	GTEx	GTEX-11OF3	GenotypeID not found
SRR1093527	GTEx	GTEx	GTEX-XOTO	GenotypeID not found
SRR5125565	NA	NA	GTEX-X4EP-0011-R5A-SM-3P628	GenotypeID not found
SRR1480875	GTEx	GTEx	GTEX-13PDP	GenotypeID not found
SRR5125353	NA	NA	GTEX-WHSE-0011-R7A-SM-3P5YZ	GenotypeID not found
SRR1408113	GTEx	GTEx	GTEX-145LU	GenotypeID not found
SRR1334960	GTEx	GTEx	GTEX-11H98	GenotypeID not found
SRR1075433	GTEx	GTEx	GTEX-XOTO	GenotypeID not found
SRR1373940	GTEx	GTEx	GTEX-145LS	GenotypeID not found
SRR608002	GTEx	GTEx	GTEX-P44G	GenotypeID not found
SRR1399779	GTEx	GTEx	GTEX-13N1W	GenotypeID not found
SRR1077687	GTEx	GTEx	GTEX-XLM4	GenotypeID not found
SRR1321244	GTEx	GTEx	GTEX-11OF3	GenotypeID not found
SRR1328960	GTEx	GTEx	GTEX-11OF3	GenotypeID not found
SRR5125577	NA	NA	GTEX-X4EP-0011-R1A-SM-3P624	GenotypeID not found
SRR1311285	GTEx	GTEx	GTEX-11OF3	GenotypeID not found
SRR1446828	GTEx	GTEx	GTEX-ZE9C	GenotypeID not found
SRR1479681	GTEx	GTEx	GTEX-13N1W	GenotypeID not found
SRR1355613	GTEx	GTEx	GTEX-144GL	GenotypeID not found
SRR1330041	GTEx	GTEx	GTEX-11OC5	GenotypeID not found
SRR1340301	GTEx	GTEx	GTEX-145LU	GenotypeID not found
SRR658645	GTEx	GTEx	GTEX-RVPU	GenotypeID not found
SRR1376597	GTEx	GTEx	GTEX-145LS	GenotypeID not found
SRR662546	GTEx	GTEx	GTEX-P44G	GenotypeID not found
SRR5125362	NA	NA	GTEX-WHSE-0011-R4A-SM-3P5ZN	GenotypeID not found
SRR1348446	GTEx	GTEx	GTEX-11H98	GenotypeID not found
SRR1441118	GTEx	GTEx	GTEX-144GL	GenotypeID not found
SRR1350525	GTEx	GTEx	GTEX-139T4	GenotypeID not found
SRR1413414	GTEx	GTEx	GTEX-11ONC	GenotypeID not found
SRR1444102	GTEx	GTEx	GTEX-13N1W	GenotypeID not found
SRR1397906	GTEx	GTEx	GTEX-139T8	GenotypeID not found
SRR5125346	NA	NA	GTEX-WHSE-3026-SM-3P5ZH	GenotypeID not found
SRR1392985	GTEx	GTEx	GTEX-139UC	GenotypeID not found
SRR5125370	NA	NA	GTEX-WHSE-0011-R1A-SM-3P5ZK	GenotypeID not found
SRR5125347	NA	NA	GTEX-WHSE-3026-SM-3P5ZH	GenotypeID not found
SRR1324452	GTEx	GTEx	GTEX-139TS	GenotypeID not found
SRR1388007	GTEx	GTEx	GTEX-139UC	GenotypeID not found
SRR1446937	GTEx	GTEx	GTEX-ZE9C	GenotypeID not found
SRR1402900	GTEx	GTEx	GTEX-11H98	GenotypeID not found
SRR1418923	GTEx	GTEx	GTEX-12WSC	GenotypeID not found
SRR1383612	GTEx	GTEx	GTEX-13PDP	GenotypeID not found
