RnaID	GenotypeID	MetaCohort	RNADataset	GenotypeIndividualsDataset
SRR1388480	GTEX-12WS9	GTEx	GTEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GTEx-Individuals.txt
SRR1405007	GTEX-12ZZZ	GTEx	GTEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GTEx-Individuals.txt
SRR1349829	GTEX-13X6J	GTEx	GTEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GTEx-Individuals.txt
SRR1315761	GTEX-13OW8	GTEx	GTEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GTEx-Individuals.txt
SRR1474754	GTEX-12WSM	GTEx	GTEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GTEx-Individuals.txt
SRR1311794	GTEX-11GS4	GTEx	GTEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GTEx-Individuals.txt
SRR1348861	GTEX-YJ89	GTEx	GTEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GTEx-Individuals.txt
SRR1444678	GTEX-ZXG5	GTEx	GTEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GTEx-Individuals.txt
SRR601755	GTEX-OHPN	GTEx	GTEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GTEx-Individuals.txt
SRR812012	GTEX-T5JC	GTEx	GTEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GTEx-Individuals.txt
SRR1455369	GTEX-11TUW	GTEx	GTEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GTEx-Individuals.txt
SRR1331751	GTEX-13S7M	GTEx	GTEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GTEx-Individuals.txt
SRR1477971	GTEX-14C5O	GTEx	GTEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GTEx-Individuals.txt
751_CER	751	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11447_CER	11447	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1104_CER	1104	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11443_CER	11443	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11481_CER	11481	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1137_CER	1137	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
135_CER	135	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
719_CER	719	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11463_CER	11463	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11480_CER	11480	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11465_CER	11465	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11332_CER	11332	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11474_CER	11474	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1957_CER	1957	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1935_CER	1935	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11259_CER	11259	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
716_CER	716	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11288_CER	11288	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11333_CER	11333	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11326_CER	11326	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11358_CER	11358	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
851_CER	851	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1010_CER	1010	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
786_CER	786	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11430_CER	11430	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11349_CER	11349	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11320_CER	11320	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
134_CER	134	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11472_CER	11472	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11374_CER	11374	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11452_CER	11452	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11279_CER	11279	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1919_CER	1919	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1119_CER	1119	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11494_CER	11494	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11423_CER	11423	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11371_CER	11371	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
892_CER	892	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1159_CER	1159	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11338_CER	11338	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
785_CER	785	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
6894_CER	6894	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
976_CER	976	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
787_CER	787	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
775_CER	775	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11334_CER	11334	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
813_CER	813	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11330_CER	11330	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11313_CER	11313	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11456_CER	11456	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1129_CER	1129	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11476_CER	11476	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11323_CER	11323	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11425_CER	11425	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11303_CER	11303	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1258_CER	1258	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11397_CER	11397	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1052_CER	1052	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11329_CER	11329	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11276_CER	11276	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11305_CER	11305	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1940_CER	1940	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1029_CER	1029	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11497_CER	11497	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
812_CER	812	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11396_CER	11396	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
6925_CER	6925	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
834_CER	834	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11502_CER	11502	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11309_CER	11309	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11385_CER	11385	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
777_CER	777	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11470_CER	11470	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1956_CER	1956	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1302_CER	1302	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11495_CER	11495	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
816_CER	816	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1932_CER	1932	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
6915_CER	6915	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
7000_CER	7000	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11427_CER	11427	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1078_CER	1078	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
149_CER	149	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11432_CER	11432	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
871_CER	871	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11319_CER	11319	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
736_CER	736	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1183_CER	1183	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11394_CER	11394	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11483_CER	11483	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11491_CER	11491	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11493_CER	11493	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1955_CER	1955	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11408_CER	11408	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11355_CER	11355	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1114_CER	1114	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1019_CER	1019	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11292_CER	11292	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
6863_CER	6863	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1015_CER	1015	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
731_CER	731	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
791_CER	791	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11285_CER	11285	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11429_CER	11429	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11241_CER	11241	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11402_CER	11402	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11357_CER	11357	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
894_CER	894	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11507_CER	11507	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1045_CER	1045	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1105_CER	1105	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
6929_CER	6929	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1089_CER	1089	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11266_CER	11266	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
11271_CER	11271	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
1027_CER	1027	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
931_CER	931	AMP-AD	Mayo	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\AMPAD-MAYO-V2-Individuals.txt
